"","Timestamp_UTC1","PAR","Batt. [V]"
"1",2022-07-21 12:10:00,16.4,1.53
"2",2022-07-21 12:15:00,74.3,1.53
"3",2022-07-21 12:20:00,1.5,1.54
"4",2022-07-21 12:25:00,10.4,1.54
"5",2022-07-21 12:30:00,0.6,1.54
"6",2022-07-21 12:35:00,0.3,1.53
"7",2022-07-21 12:40:00,0.5,1.53
"8",2022-07-21 12:45:00,814.7,1.53
"9",2022-07-21 12:50:00,1816.8,1.53
"10",2022-07-21 12:55:00,50.1,1.53
"11",2022-07-21 13:00:00,53.8,1.53
"12",2022-07-21 13:05:00,67.6,1.53
"13",2022-07-21 13:10:00,73.4,1.53
"14",2022-07-21 13:15:00,75.9,1.53
"15",2022-07-21 13:20:00,76,1.53
"16",2022-07-21 13:25:00,0.4,1.53
"17",2022-07-21 13:30:00,0.4,1.52
"18",2022-07-21 13:35:00,0.4,1.52
"19",2022-07-21 13:40:00,0.3,1.51
"20",2022-07-21 13:45:00,0.4,1.51
"21",2022-07-21 13:50:00,0.5,1.51
"22",2022-07-21 13:55:00,0.5,1.5
"23",2022-07-21 14:00:00,47.4,1.49
"24",2022-07-21 14:05:00,52.5,1.5
"25",2022-07-21 14:10:00,56.6,1.5
"26",2022-07-21 14:15:00,55.1,1.49
"27",2022-07-21 14:20:00,53.3,1.5
"28",2022-07-21 14:25:00,54.5,1.5
"29",2022-07-21 14:30:00,54.2,1.5
"30",2022-07-21 14:35:00,52.4,1.5
"31",2022-07-21 14:40:00,50.9,1.5
"32",2022-07-21 14:45:00,49.6,1.5
"33",2022-07-21 14:50:00,48.7,1.5
"34",2022-07-21 14:55:00,48.4,1.5
"35",2022-07-21 15:00:00,47.9,1.5
"36",2022-07-21 15:05:00,45.5,1.5
"37",2022-07-21 15:10:00,44.7,1.5
"38",2022-07-21 15:15:00,45.7,1.5
"39",2022-07-21 15:20:00,46.2,1.5
"40",2022-07-21 15:25:00,45.4,1.5
"41",2022-07-21 15:30:00,43.8,1.5
"42",2022-07-21 15:35:00,43.6,1.5
"43",2022-07-21 15:40:00,40.5,1.5
"44",2022-07-21 15:45:00,39.9,1.5
"45",2022-07-21 15:50:00,38.7,1.5
"46",2022-07-21 15:55:00,38.5,1.5
"47",2022-07-21 16:00:00,36.6,1.5
"48",2022-07-21 16:05:00,36,1.5
"49",2022-07-21 16:10:00,33.2,1.5
"50",2022-07-21 16:15:00,32.9,1.5
"51",2022-07-21 16:20:00,30.8,1.5
"52",2022-07-21 16:25:00,31.7,1.5
"53",2022-07-21 16:30:00,30.3,1.5
"54",2022-07-21 16:35:00,27.8,1.5
"55",2022-07-21 16:40:00,27.8,1.5
"56",2022-07-21 16:45:00,27.5,1.5
"57",2022-07-21 16:50:00,25.5,1.5
"58",2022-07-21 16:55:00,25,1.5
"59",2022-07-21 17:00:00,24,1.5
"60",2022-07-21 17:05:00,22.9,1.5
"61",2022-07-21 17:10:00,22.4,1.5
"62",2022-07-21 17:15:00,21.1,1.5
"63",2022-07-21 17:20:00,19.4,1.5
"64",2022-07-21 17:25:00,17,1.5
"65",2022-07-21 17:30:00,16.9,1.5
"66",2022-07-21 17:35:00,16.1,1.5
"67",2022-07-21 17:40:00,15.2,1.5
"68",2022-07-21 17:45:00,14.2,1.5
"69",2022-07-21 17:50:00,12.9,1.49
"70",2022-07-21 17:55:00,12,1.5
"71",2022-07-21 18:00:00,11.2,1.5
"72",2022-07-21 18:05:00,10.7,1.5
"73",2022-07-21 18:10:00,9.4,1.5
"74",2022-07-21 18:15:00,8.5,1.5
"75",2022-07-21 18:20:00,7.8,1.5
"76",2022-07-21 18:25:00,6.6,1.49
"77",2022-07-21 18:30:00,6.1,1.5
"78",2022-07-21 18:35:00,6,1.5
"79",2022-07-21 18:40:00,6,1.5
"80",2022-07-21 18:45:00,5.7,1.5
